,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
71,2016-08-04,32.36774826049805,24.901708602905273,6.46999979019165,760.77001953125,27.496259689331055,37.19698715209961,45.279998779296875,151.63096618652344,67.05738830566406,46.12200164794922,2164.25
72,2016-08-05,33.19670486450195,25.280399322509766,6.610000133514404,765.97998046875,27.593292236328125,37.17134094238281,46.560001373291016,172.2766571044922,68.13687133789062,46.00600051879883,2182.8701171875
73,2016-08-08,33.10995101928711,25.489734649658203,6.679999828338623,766.5599975585938,27.584474563598633,37.13713073730469,47.040000915527344,173.01365661621094,67.67945861816406,45.231998443603516,2180.889892578125
74,2016-08-09,33.34129333496094,25.593223571777344,6.599999904632568,768.3099975585938,27.61094093322754,37.162784576416016,48.0,169.51792907714844,63.10528564453125,45.816001892089844,2181.739990234375
75,2016-08-10,32.94609451293945,25.402708053588867,6.489999771118164,768.5599975585938,27.584474563598633,37.282474517822266,46.400001525878906,168.95025634765625,63.910343170166016,45.130001068115234,2175.489990234375
76,2016-08-11,33.697940826416016,25.38624382019043,6.579999923706055,771.239990234375,27.60211944580078,37.40216064453125,45.599998474121094,169.23907470703125,64.98983764648438,44.981998443603516,2185.7900390625
77,2016-08-12,33.65937423706055,25.445039749145508,6.730000019073486,772.5599975585938,27.55801010131836,37.64154052734375,48.63999938964844,168.17343139648438,64.77030181884766,45.12200164794922,2184.050048828125
78,2016-08-15,34.57508087158203,25.750818252563477,6.949999809265137,768.489990234375,27.55801010131836,37.821067810058594,48.47999954223633,169.43826293945312,65.41068267822266,45.11800003051758,2190.14990234375
79,2016-08-16,35.42332077026367,25.727296829223633,6.78000020980835,764.0399780273438,27.513900756835938,37.470558166503906,48.47999954223633,167.6455841064453,65.48384857177734,44.72200012207031,2178.14990234375
80,2016-08-17,35.27873229980469,25.689666748046875,6.679999828338623,764.6300048828125,27.60211944580078,37.66719055175781,47.36000061035156,166.29110717773438,65.428955078125,44.64799880981445,2182.219970703125
81,2016-08-18,35.34621047973633,25.656736373901367,7.039999961853027,764.4600219726562,27.725616455078125,37.70138168334961,47.84000015258789,166.46041870117188,64.1482162475586,44.70199966430664,2187.02001953125
82,2016-08-19,35.172698974609375,25.72259521484375,7.619999885559082,757.3099975585938,27.566829681396484,37.5474967956543,47.040000915527344,167.0081787109375,63.516971588134766,45.0,2183.8701171875
